onset	duration	trial_type	value
2.0	1.694	recall_start	42
5.0	1.043	sequence_presentation	41
9.019	1.331	recall_start	42
12.062	1.948	recall_start	42
15.181	0.736	sequence_presentation	41
18.56	1.672	sequence_presentation	41
22.847	1.15	recall_start	42
26.114	1.12	sequence_presentation	41
29.034	1.664	sequence_presentation	41
32.876	1.193	recall_start	42
35.319	0.939	sequence_presentation	41
39.147	1.817	recall_start	42
42.862	0.659	sequence_presentation	41
45.891	1.166	recall_start	42
49.267	1.8	sequence_presentation	41
52.777	1.542	recall_start	42
56.3	0.53	recall_start	42
59.285	0.828	recall_start	42
63.009	0.717	recall_start	42
64.844	1.73	sequence_presentation	41
67.774	0.762	sequence_presentation	41
71.1	0.904	recall_start	42
74.935	1.643	recall_start	42
78.806	1.834	recall_start	42
83.34	0.81	recall_start	42
