onset	duration	trial_type	value
2.0	1.094	cue_right	52
6.027	0.907	cue_right	52
8.879	1.066	cue_left	51
11.985	1.833	cue_left	51
15.459	0.812	cue_left	51
17.951	0.899	cue_left	51
20.954	0.733	cue_left	51
24.163	0.737	cue_left	51
27.103	0.67	cue_right	52
29.685	1.899	cue_left	51
33.556	0.995	cue_left	51
36.75	0.605	cue_right	52
39.872	0.874	cue_left	51
43.637	0.663	cue_right	52
46.738	0.576	cue_right	52
50.307	1.06	cue_right	52
52.824	0.673	cue_left	51
55.033	1.473	cue_left	51
59.113	1.28	cue_left	51
61.467	1.37	cue_right	52
64.897	0.746	cue_right	52
67.19	1.627	cue_right	52
71.745	0.684	cue_right	52
