onset	duration	trial_type	value
2.0	1.79	nontarget	12
6.558	0.595	target	11
10.034	1.958	target	11
14.74	1.347	nontarget	12
18.601	1.135	nontarget	12
22.498	1.348	target	11
25.634	1.639	target	11
30.04	1.02	target	11
33.854	0.715	target	11
36.539	1.906	target	11
41.1	1.182	target	11
44.975	0.774	nontarget	12
47.428	1.866	target	11
51.994	1.296	nontarget	12
55.719	1.95	target	11
60.578	1.461	nontarget	12
64.799	1.751	nontarget	12
68.695	1.007	target	11
71.087	1.735	nontarget	12
74.784	0.735	target	11
78.139	1.675	nontarget	12
81.16	1.457	target	11
84.763	1.27	target	11
88.839	1.577	target	11
92.805	1.248	target	11
95.565	0.887	target	11
