onset	duration	trial_type	value
2.0	1.014	nontarget	12
4.479	0.597	target	11
6.473	1.157	target	11
9.066	1.065	target	11
12.09	1.343	target	11
15.845	1.143	target	11
18.927	1.329	target	11
21.257	1.986	target	11
24.297	0.933	target	11
27.048	1.209	nontarget	12
30.244	1.586	target	11
33.428	1.047	nontarget	12
36.572	1.267	target	11
40.674	0.637	target	11
43.185	1.604	nontarget	12
46.026	1.337	nontarget	12
48.482	0.632	target	11
51.901	0.558	nontarget	12
54.531	0.938	target	11
57.248	1.912	nontarget	12
60.369	0.618	target	11
62.055	0.787	nontarget	12
64.523	1.973	target	11
69.016	0.829	nontarget	12
71.709	0.875	target	11
73.771	1.478	target	11
