onset	duration	trial_type	value
2.0	1.77	congruent	31
6.611	0.682	incongruent	32
8.967	1.588	incongruent	32
12.893	1.822	incongruent	32
17.554	1.27	incongruent	32
19.863	1.746	congruent	31
23.017	0.929	congruent	31
26.387	1.003	congruent	31
28.823	1.618	incongruent	32
32.447	0.95	incongruent	32
35.014	1.577	congruent	31
39.576	1.507	incongruent	32
42.53	1.403	congruent	31
46.236	1.484	incongruent	32
49.107	1.563	congruent	31
51.917	1.222	congruent	31
56.129	0.987	incongruent	32
58.281	1.698	congruent	31
62.533	0.906	congruent	31
64.601	1.628	incongruent	32
67.358	1.1	congruent	31
70.665	1.573	congruent	31
74.884	1.511	congruent	31
77.913	0.709	incongruent	32
81.098	1.509	incongruent	32
85.463	0.958	congruent	31
