onset	duration	trial_type	value
2.0	1.042	target	11
4.652	0.696	nontarget	12
7.795	1.801	nontarget	12
12.534	1.851	nontarget	12
16.179	1.681	nontarget	12
19.333	1.323	nontarget	12
21.968	1.241	target	11
24.393	0.833	target	11
27.409	0.644	target	11
29.438	1.097	nontarget	12
31.876	0.794	target	11
34.45	1.807	nontarget	12
39.016	1.297	target	11
42.946	0.547	nontarget	12
45.869	1.355	nontarget	12
48.339	0.691	target	11
51.572	0.909	nontarget	12
54.513	0.889	target	11
56.591	1.692	target	11
60.074	0.73	target	11
62.508	1.881	target	11
65.803	0.572	nontarget	12
68.349	1.81	target	11
