onset	duration	trial_type	value
2.0	0.689	go	21
4.64	1.283	go	21
6.991	1.443	nogo	22
10.53	1.497	nogo	22
13.55	0.657	go	21
15.539	1.96	nogo	22
19.914	1.998	go	21
24.398	0.686	nogo	22
26.42	1.567	nogo	22
30.009	0.836	go	21
33.077	1.387	nogo	22
37.203	1.398	go	21
39.75	0.98	nogo	22
43.401	1.286	go	21
47.125	0.898	go	21
49.354	0.981	nogo	22
52.672	0.995	nogo	22
56.12	1.985	nogo	22
59.289	1.108	go	21
62.779	1.313	go	21
66.626	1.795	nogo	22
70.012	1.821	go	21
74.27	0.7	nogo	22
76.114	0.598	nogo	22
78.068	1.108	go	21
80.844	0.571	nogo	22
83.16	0.659	go	21
86.604	0.95	nogo	22
88.839	1.599	nogo	22
92.938	1.115	nogo	22
